>	aa
92.076279	13.968750
92.078896	13.971752
92.086143	13.980067
92.096237	13.991640
92.102257	13.998548
92.103523	14.000000
>	aa
96.707474	3.085970
96.705444	3.084334
96.701767	3.081369
96.700424	3.080288
96.699539	3.079572
96.695168	3.076050
96.688370	3.070571
96.684021	3.067065
96.675552	3.060243
96.672607	3.057865
96.662788	3.049956
96.661400	3.048835
96.650879	3.040355
96.650833	3.040318
96.650436	3.040000
96.640625	3.032095
96.639488	3.031177
96.630180	3.023675
96.627785	3.021745
96.619667	3.015200
96.616028	3.012270
96.609261	3.006814
96.604500	3.002978
96.599060	2.998595
96.593224	2.993891
96.588997	2.990486
96.582008	2.984849
96.578888	2.982339
96.570412	2.975506
96.568321	2.973818
96.558449	2.965865
96.557671	2.965236
96.551170	2.960000
96.547577	2.957101
96.547180	2.956779
96.537704	2.949143
96.536171	2.947907
96.527313	2.940769
96.524536	2.938529
96.516884	2.932368
96.512932	2.929178
96.506775	2.924219
96.501717	2.920143
96.496620	2.916034
96.490341	2.910971
96.486244	2.907673
96.478676	2.901573
96.475838	2.899282
96.467178	2.892304
96.465599	2.891034
96.455780	2.883123
96.455391	2.882809
96.451912	2.880000
96.445450	2.874792
96.444725	2.874211
96.435432	2.866719
96.433525	2.865187
96.425575	2.858779
96.422653	2.856421
96.415741	2.850854
96.411674	2.847571
96.405579	2.842660
96.400345	2.838440
96.395317	2.834390
96.388847	2.829177
96.385147	2.826198
96.377846	2.820309
96.375328	2.818284
96.366913	2.811502
96.365471	2.810338
96.355705	2.802464
96.355400	2.802220
96.352646	2.800000
96.345474	2.794221
96.344681	2.793580
96.335541	2.786215
96.333618	2.784667
96.325653	2.778248
96.322594	2.775782
96.315498	2.770064
96.311348	2.766716
96.305557	2.762053
96.300446	2.757934
96.295761	2.754154
96.289391	2.749021
96.285736	2.746079
96.278183	2.739992
96.275726	2.738008
96.267395	2.731297
96.266014	2.730182
96.256592	2.722591
96.256279	2.722335
96.253380	2.720000
96.246628	2.714560
96.245911	2.713983
96.236855	2.706684
96.235016	2.705199
96.227112	2.698829
96.224304	2.696566
96.217583	2.691149
96.213799	2.688101
96.208015	2.683439
96.203018	2.679413
96.198257	2.675574
96.192383	2.670844
96.188591	2.667787
96.181572	2.662129
96.178848	2.659933
96.170776	2.653425
96.169144	2.652113
96.159882	2.644649
96.159332	2.644203
96.154114	2.640000
96.149918	2.636620
96.149483	2.636266
96.140427	2.628971
96.139046	2.627853
96.131165	2.621503
96.128899	2.619675
96.122231	2.614305
96.118958	2.611665
96.112892	2.606779
96.108582	2.603304
96.103683	2.599354
96.098511	2.595189
96.094360	2.591843
96.088188	2.586870
96.085129	2.584403
96.078033	2.578682
96.075836	2.576911
96.067444	2.570151
96.066254	2.569190
96.057518	2.562150
96.057274	2.561950
96.054848	2.560000
96.048203	2.554639
96.047546	2.554114
96.039040	2.547255
96.037460	2.545987
96.030121	2.540067
96.027565	2.538007
96.020882	2.532620
96.017326	2.529760
96.011688	2.525212
96.007263	2.521650
96.002632	2.517915
95.997520	2.513794
95.993668	2.510691
95.987480	2.505702
95.984428	2.503245
95.977188	2.497411
95.975227	2.495830
95.966980	2.489180
95.965950	2.488354
95.956947	2.481095
95.956825	2.480995
95.955589	2.480000
95.947716	2.473654
95.946945	2.473033
95.938721	2.466410
95.937012	2.465031
95.929405	2.458902
95.926682	2.456705
95.920090	2.451391
95.916405	2.448425
95.910942	2.444020
95.906647	2.440559
95.902176	2.436953
95.896912	2.432711
95.893196	2.429715
95.886581	2.424390
95.883644	2.422019
95.875916	2.415790
95.874062	2.414299
95.870911	2.411758
95.865730	2.407581
95.864853	2.406877
95.856323	2.400000
95.855743	2.399534
95.855682	2.399487
95.846420	2.392020
95.845367	2.391170
95.836800	2.384265
95.834763	2.382626
95.827431	2.376716
95.824471	2.374330
95.818047	2.369154
95.814011	2.365899
95.808578	2.361523
95.803490	2.357422
95.799110	2.353894
95.793015	2.348980
95.789581	2.346209
95.782776	2.340726
95.780418	2.338825
95.773178	2.332992
95.771683	2.331789
95.762878	2.324694
95.762321	2.324240
95.757057	2.320000
95.751846	2.315797
95.751198	2.315277
95.741417	2.307395
95.739731	2.306035
95.731804	2.299647
95.729301	2.297632
95.722687	2.292297
95.719086	2.289397
95.713371	2.284792
95.708717	2.281043
95.703781	2.277064
95.697975	2.272385
95.693954	2.269142
95.686874	2.263434
95.683998	2.261117
95.675728	2.254456
95.673988	2.253049
95.665070	2.245863
95.664352	2.245286
95.657791	2.240000
95.654579	2.237411
95.654228	2.237125
95.645004	2.229696
95.643646	2.228596
95.635406	2.221959
95.633041	2.220050
95.625397	2.213890
95.621727	2.210934
95.615135	2.205618
95.610359	2.201774
95.605446	2.197811
95.599319	2.192876
95.595108	2.189477
95.587402	2.183267
95.584274	2.180748
95.575821	2.173936
95.574051	2.172508
95.564995	2.165212
95.564369	2.164708
95.558533	2.160000
95.554993	2.157149
95.554626	2.156852
95.545616	2.149592
95.544136	2.148399
95.534767	2.140847
95.531815	2.138469
95.523605	2.131855
95.519493	2.128541
95.513535	2.123740
95.508789	2.119910
95.504196	2.116214
95.498482	2.111604
95.494659	2.108527
95.487671	2.102895
95.484795	2.100573
95.476746	2.094086
95.474991	2.092676
95.465553	2.085067
95.464951	2.084581
95.459267	2.080000
95.454811	2.076409
95.454308	2.076005
95.445053	2.068549
95.443481	2.067280
95.434975	2.060423
95.432335	2.058296
95.424881	2.052288
95.421097	2.049240
95.414726	2.044107
95.409523	2.039912
95.404198	2.035619
95.397629	2.030324
95.393806	2.027244
95.386787	2.021591
95.384361	2.019636
95.376526	2.013320
95.374901	2.012008
95.363792	2.003054
95.363266	2.002630
95.360001	2.000000
95.347679	1.990069
95.345390	1.988223
95.329941	1.975776
95.323296	1.970419
95.311340	1.960786
95.299706	1.951404
95.292564	1.945651
95.276611	1.932797
95.273560	1.930332
95.260735	1.920000
95.254631	1.915079
95.253265	1.913977
95.235992	1.900058
95.230576	1.895695
95.218292	1.885796
95.216537	1.884381
95.215157	1.883268
95.213081	1.881591
>	aa
96.707474	3.085970
96.683922	3.105023
>	aa
92.928780	11.587364
92.928780	11.587312
92.928787	11.586907
92.928787	11.586641
92.928795	11.586363
92.928795	11.586314
92.928802	11.585648
92.929604	11.538321
92.929726	11.531250
92.928833	11.444571
92.928764	11.437500
92.924370	11.350821
92.924011	11.343750
92.920479	11.309860
92.919312	11.298586
92.916885	11.275310
92.914986	11.257071
92.914238	11.250000
92.910088	11.224466
92.900139	11.163321
92.898987	11.156250
92.880066	11.069571
92.878525	11.062500
92.875793	11.052006
92.873734	11.044079
92.872841	11.040624
92.856003	10.975821
92.854164	10.968750
92.848404	10.947821
92.846329	10.940280
92.830315	10.882071
92.828369	10.875000
92.821564	10.848867
92.805801	10.788321
92.803955	10.781250
92.802521	10.774790
92.784676	10.694572
92.783096	10.687500
92.768600	10.603311
92.768166	10.600824
92.766953	10.593750
92.757080	10.510159
92.756721	10.507067
92.755890	10.499999
